booktitleid,Status
1,Available
2,Available
3,Available
4,Available
5,Available
6,Available
7,Available
8,Available
9,Available
10,Available
11,Available
12,Available
13,Available
14,Available
15,Available
16,Available
17,Available
18,Available
19,Available
20,Available
21,Available
22,Available
23,Available
24,Available
25,Available
26,Available
27,Available
28,Available
29,Available
30,Available
31,Available
32,Available
33,Available
34,Available
35,Available
36,Available
37,Available
38,Available
39,Available
40,Available
41,Available
42,Available
43,Available
44,Available
45,Available
46,Available
47,Available
48,Available
49,Available
50,Available
51,Available
52,Available
53,Available
54,Available
55,Available
56,Available
57,Available
58,Available
59,Available
60,Available
61,Available
62,Available
63,Available
64,Available
65,Available
66,Available
67,Available
68,Available
69,Available
70,Available
71,Available
72,Available
73,Available
74,Available
75,Available
76,Available
77,Available
78,Available
79,Available
80,Available
81,Available
82,Available
83,Available
84,Available
85,Available
86,Available
87,Available
88,Available
89,Available
90,Available
91,Available
92,Available
93,Available
94,Available
95,Available
96,Available
97,Available
98,Available
99,Available
100,Available
