Title,Author,ISBN,Category
Nekromantik 2,Sam Gilbanks,291355406-7,Fantasy
"Angélique, marquise des anges",Sandy Epelett,833328414-0,Self-Help
Tokyo Drifter (Tôkyô nagaremono),Amalea Kleewein,381764191-5,Self-Help
Starship Troopers 2: Hero of the Federation,Marleah Maton,779243147-9,Technology
7500,Kingsly Pashba,661966548-9,Biography
"War Is Over, The (Guerre est finie, La)",Emalia Vail,791862838-1,Science Fiction
"Enforcer, The",Jarib Fillery,626051825-0,Mystery
Les Formidables (Gang-jeok),Eydie Seel,146991722-X,Technology
Le Mans,Laverna Pietz,690173251-1,Romance
Enola Gay and the Atomic Bombing of Japan,Trevar Leavry,549482740-2,Fantasy
Harry Potter and the Chamber of Secrets,Edith Lippatt,225064277-X,Business
"Son of the Sheik, The",Dotti Wedmore,941262878-1,Education
"Fighter, The",Eal O'Lynn,512303048-4,Biography
Freeheld,Anni Hardingham,721752744-9,Mystery
Cinderella,Valdemar Dive,868235195-1,Mystery
Electric Dreams,Kaiser Swift,301829190-5,Children
Space Milkshake,Mada Deppe,686724809-8,Mystery
"Cigarette Girl of Mosselprom, The (Papirosnitsa ot Mosselproma)",Sondra Gallard,924441183-0,Thriller
"Chambermaid on the Titanic, The (Femme de chambre du Titanic, La)",Minerva Duckit,298013570-4,Programming
"Trial of the Incredible Hulk, The",Van Ladell,369141789-2,Self-Help
Bekas,Martita Rodrigues,543906285-8,Education
"Twelve Tasks of Asterix, The (Les douze travaux d'Astérix)",Dane Matiebe,930539471-X,Education
There's Something About Mary,Renie Lemme,673661949-1,Thriller
"""Great Performances"" Cats",Gus Hucklesby,974052230-0,Science Fiction
Kramer vs. Kramer,Heinrik L'Amie,460687363-9,Thriller
Ethel,Putnem Meekings,027690903-8,Mystery
Good People,Manolo Caustic,463630146-3,Romance
Clouds of May (Mayis sikintisi),Silvia Leaney,702099069-X,Thriller
Space Cowboys,Luella Beves,756176487-1,Programming
Circumstance,Herta Bampkin,673281188-6,Technology
"Breach, The (Rupture, La)",Tamera Doberer,076326890-9,Children
