memberid,copyid,staffid,loandate,duedate,returndate
1,1,3,2026-01-11,2026-01-25,2026-02-01
2,2,3,2025-10-09,2025-10-23,2025-11-02
3,3,3,2025-10-27,2025-11-10,2025-11-14
4,4,1,2026-03-27,2026-04-10,2026-04-17
5,5,3,2025-08-22,2025-09-05,2025-09-10
6,6,1,2026-06-17,2026-07-01,2026-07-03
7,7,2,2026-02-05,2026-02-19,2026-02-22
8,8,3,2026-04-12,2026-04-26,2026-05-01
9,9,3,2025-11-28,2025-12-12,2025-12-14
10,10,1,2025-10-31,2025-11-14,2025-11-22
11,11,1,2026-03-23,2026-04-06,2026-04-16
12,12,3,2026-04-28,2026-05-12,2026-05-18
13,13,2,2025-09-30,2025-10-14,2025-10-23
14,14,1,2026-06-27,2026-07-11,2026-07-15
15,15,1,2026-02-15,2026-03-01,2026-03-09
16,16,1,2025-09-17,2025-10-01,2025-10-02
17,17,3,2025-08-24,2025-09-07,2025-09-13
18,18,2,2026-07-01,2026-07-15,2026-07-19
